x,y
-10.0,-15.503285846988767
-9.797979797979798,-15.73422389713078
-9.595959595959595,-14.544230653818499
-9.393939393939394,-13.264848931470764
-9.191919191919192,-14.61799175856172
-8.98989898989899,-14.21393493674716
-8.787878787878787,-11.996544760250183
-8.585858585858587,-12.404282442564265
-8.383838383838384,-13.23715115361172
-8.181818181818182,-11.821076320050398
-7.979797979797979,-12.423013652408422
-7.777777777777778,-12.021285309125812
-7.575757575757576,-10.909552879949118
-7.373737373737374,-12.660754992132546
-7.171717171717171,-12.068352175947375
-6.96969696969697,-10.501681468634912
-6.767676767676768,-10.54818465568796
-6.565656565656566,-8.817065798717858
-6.363636363636363,-9.635296802793938
-6.161616161616162,-9.735536024567615
-5.959595959595959,-6.453543150270365
-5.757575757575758,-7.740927815638051
-5.555555555555555,-7.043582906423187
-5.353535353535354,-8.131818893284164
-5.151515151515151,-6.847413027555485
-4.94949494949495,-5.788067309280033
-4.747474747474747,-6.645943072371797
-4.545454545454546,-4.71521107256342
-4.343434343434343,-5.287507376787492
-4.141414141414142,-4.5745220326215605
-3.9393939393939394,-4.480494491017276
-3.737373737373738,-1.622469290238538
-3.5353535353535355,-3.084204295445005
-3.333333333333333,-3.7243775956225664
-3.1313131313131315,-1.4400813505230738
-2.929292929292929,-3.0794295085568804
-2.7272727272727275,-1.2456818595406995
-2.525252525252525,-3.010175174384826
-2.3232323232323235,-1.9746506953630776
-2.121212121212121,-0.04556300655511869
-1.9191919191919187,0.9000827416115731
-1.717171717171718,0.7370248468465345
-1.5151515151515156,0.8540486873087283
-1.3131313131313131,1.072633678148085
-1.1111111111111107,0.2992557874103512
-0.9090909090909101,1.4619739734234711
-0.7070707070707076,2.1252198148987973
-0.5050505050505052,4.047021216117905
-0.30303030303030276,3.737557683507856
-0.10101010101010033,2.0349396426170654
0.10101010101010033,4.526104171414996
0.30303030303030276,4.220978325644289
0.5050505050505052,4.333179009795051
0.7070707070707076,6.025817702982283
0.9090909090909083,6.8491813406777675
1.1111111111111107,7.15350234133842
1.3131313131313131,5.787045103039988
1.5151515151515156,6.7210906544518165
1.7171717171717162,7.765606865746997
1.9191919191919187,8.813928965506197
2.121212121212121,7.7632500045789525
2.3232323232323235,8.46080566980083
2.525252525252524,7.94417007649902
2.7272727272727266,8.258338830464783
2.929292929292929,10.671111680980056
3.1313131313131315,11.618866291197087
3.333333333333334,10.594656545086334
3.5353535353535346,12.074239968599093
3.737373737373737,11.836383499795108
3.9393939393939394,11.233668124182755
4.141414141414142,12.644223888336697
4.3434343434343425,14.224905253334654
4.545454545454545,13.055083051799139
4.747474747474747,15.0595931507635
4.94949494949495,11.279244794900155
5.1515151515151505,15.124932807405525
5.353535353535353,14.794117775308877
5.555555555555555,14.812103760645243
5.757575757575758,15.606912291687017
5.9595959595959584,13.931623004591025
6.161616161616163,16.10356043539481
6.363636363636363,17.084385298784472
6.565656565656564,18.609207176054642
6.767676767676768,17.017083317079887
6.969696969696969,17.13090033650075
7.171717171717173,17.84167729984981
7.373737373737374,19.66287686517682
7.575757575757574,19.480266261174833
7.777777777777779,19.025795351788517
7.979797979797979,20.472863392709314
8.18181818181818,20.4607139129844
8.383838383838384,21.73632175820966
8.585858585858585,20.469664077839816
8.787878787878789,21.24809542915981
8.98989898989899,21.587689826665823
9.19191919191919,20.920323435706262
9.393939393939394,23.083999064943367
9.595959595959595,23.45297446409908
9.7979797979798,23.60107305260206
10.0,23.765412866624853
